OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
372056	-	SHOEMAKER	Clothing and grooming	A person whose profession is making and repairing footwear.	Noun	6.54
522875	-	SHOOT	Warfare and hunting	To kill a person or an animal with a shot from a firearm.	Verb	20.62
3409	-	SHOP	Possession	A place, especially a small building, for the retail sale of goods and services.	Noun	11.86
1201459	-	SHORE	The physical world	The land along the edge of a body of water.	Noun	1.27
6746	-	SHORT	Spatial relations	Small in length by comparison.	Adjective	12.59
6186	-	SHOULDER	The body	One side of the top of the torso, where an arm attaches or joins.	Noun	4.3
1372842	-	SHOULDERBLADE	The body	A large flat bone located at the back of each shoulder.	Noun	4.301
336249	6035	SHOUT	Speech and language	To utter a sudden and loud outcry.	Verb	18.13
8359	-	SHOVEL	Agriculture and vegetation	A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.	Noun	8.24
446099	-	SHOW	Sense perception	To have somebody see something.	Verb	15.55
1508293	-	SHRIEK	Speech and language	To make a very high, loud sound.	Verb	18.18
3414	-	SHRUB	Agriculture and vegetation	A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.	Noun	-
448880	-	SHUT	Spatial relations	To move (a door, a window, etc.) so that it closes its opening.	Verb	12.25
155571	-	SHY	Emotions and values	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.	Adjective	-
6732	-	SIBLING	Kinship	A person who has the same parents as another person.	Noun	2.456
765010	617681	SIBLING-IN-LAW	Kinship	The husband of one's sister.	Noun	2.6412
1373556	-	SIBLING'S CHILD	Kinship	The child of a sibling.	Noun	2.541
7800	-	SICK	The body	Whose health is altered.	Adjective	4.84
1510850	-	SICKLE	Agriculture and vegetation	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture	Noun	8.33
333652	-	SIDE	Spatial relations	One side of a leaf of a book or manuscript.	Noun	12.36
1160828	-	SIEVE	Food and drink	To separate by passing through a sieve or other straining device to separate out coarser elements.	Verb	5.47
673408	-	SILK	Clothing and grooming	One of the finest textiles, obtained from cocoons of certain species of caterpillars; it is soft, very strong and absorbent and has a brilliant sheen.	Noun	6.25
3424	-	SILVER	Basic actions and technology	A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.	Noun	9.65
6406	-	SIMILAR	Spatial relations	Having some particular qualities or characteristics in common, but not all of them.	Adjective	12.92
5540	-	SING	Speech and language	To produce harmonious sounds with one's voice.	Verb	18.12
389091	-	SINK, BASIN	Modern world	A bowl for washing hands, dishwashing or other purposes, often affixed to a wall.	Noun	23.51
474485	-	SINK, DESCEND	Motion	To cause a boat to go down in the water.	Verb	10.33
5544	-	SISTER	Kinship	A female person who has the same parents as another person.	Noun	2.45
6022	-	SIT	Spatial relations	To be in a position with the upper body upright and the legs resting.	Verb	12.13
6785	-	SIT DOWN	Motion	To move into a position where the upper body is upright and the bottom is resting  on a surface or the floor.	Verb	-
7003	-	SIX	Quantity	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.	Function word	13.06
7020	-	SIXTY	Quantity	The cardinal number occurring after fifty-nine and before sixty-one, represented in Roman numerals as LX and in Arabic numerals as 60.	Function word	-
3430	-	SKIN	The body	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.	Noun	4.12
6552	-	SKIRT	Clothing and grooming	An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.	Noun	6.46
6568	-	SKULL	The body	The main bone of the head; the cranium.	Noun	4.202
7039	-	SKY	The physical world	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.	Noun	1.51
350300	-	SLAVE	Social and political relations	A person who is owned and forced to work, usually without pay, by another.	Noun	19.42
1043216	-	SLED	Motion	A small sledge without runners intended for pleasure rides downslopes on snow.	Noun	10.79
1511010	-	SLEDGE	Motion	A low sled drawn by animals, typically on snow, ice or grass.	Noun	10.79
6519	-	SLEEP	The body	To rest in a state of decreased consciousness and reduced metabolism.	Verb	4.61
1511106	-	SLING	Warfare and hunting	An instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other.	Noun	20.23
5791	-	SLIP	Motion	To fall over (usually unexpectedly) onto the ground or floor, due to the floor being slippery, smooth or slimy.	Verb	10.42
335287	-	SLOW	Time	With low speed.	Adverb	14.22
5509	-	SMALL	Spatial relations	Not large or big; small in size.	Adjective	12.56
6520	-	SMELL, PERCEIVE	Sense perception	To perceive the presence of molecules in the air by inhaling them through the nose.	Verb	15.22
6521	-	SMELL, STINK	Sense perception	To give off a smell that can be perceived by the nose.	Verb	15.21
6067	-	SMILE	Emotions and values	To make an upwards movement of the sides of the mouth, that indicates happiness or satisfaction.	Verb	16.251
3451	-	SMOKE, EXHAUST	The physical world	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.	Noun	1.83
6968	-	SMOKE, INHALE	Agriculture and vegetation	To inhale smoke from for example a cigarette or a cigar.	Verb	8.69
5487	-	SMOOTH	Sense perception	Not rough; having a surface texture that lacks friction.	Adjective	15.77
638694	-	SNAIL	Animals	(Gastropoda) Ventral footed mollusk, including land snails, terrestrial pulmonate gastropod mollusks.	Noun	3.94
3388	-	SNAKE	Animals	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.	Noun	3.85
1542724	-	SNAPP OF STICK	Basic actions and technology	Quick breaking or cracking sound or the action of producing such a sound.	Verb	-
665334	-	SNEEZE	The body	To expel air rapidly as a reflex, usually induced by an irritation in the nose.	Verb	4.54
1511046	-	SNIFF	Sense perception	To make a short, audible inhalation, through the nose, as if to smell something.	Verb	15.212
935932	-	SNORE	The body	To make a noise during sleep by vibration of soft respiratory tissues (soft palate, base of the tongue and pharyngeal walls), particularly during inhalation.	Verb	4.612
3455	8047	SNOW	The physical world	The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.	Noun	1.76
5525	-	SNOWING	The physical world	To fall from the clouds in the form of ice crystals.	Verb	-
1478056	-	SNOWSHOE	Clothing and grooming	Footwear for walking over the snow.	Noun	6.98
3458	-	SOAP	Clothing and grooming	A cleansing agent, manufactured in bars, granules, flakes, or liquid form, made from a mixture of the sodium salts of various fatty acids of natural oils and fats.	Noun	6.95
6327	-	SOCK	Clothing and grooming	A knitted or woven covering for the foot, reaching no higher than just above the ankle.	Noun	6.49
7907	-	SOFT	Sense perception	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).	Adjective	15.75
5481	3494;161681	SOIL	The physical world	The soft and loose material forming a great part of the Earth surface.	Noun	1.212
867170	6377	SOLDIER	Warfare and hunting	A person who is actively engaged in battle, conflict or warfare.	Noun	20.17
5499	-	SOME	Quantity	An unspecified quantity or number of.	Function word	13.181
6387	-	SOMETIMES	Time	On certain occasions, or in certain circumstances, but not always.	Function word	14.33
6634	-	SON	Kinship	One's male child.	Noun	2.41
454149	-	SON-IN-LAW	Kinship	The husband of someone's daughter.	Noun	2.63;2.631
476597	-	SONG	Modern world	A musical piece with lyrics (or “words to sing”); prose that one can sing.	Noun	23.64
335437	-	SOON	Time	In a near future.	Function word	14.331
353553	-	SORCERER	Religion and belief	A person who practices magic or sorcery.	Noun	22.43
1103925	-	SORE	The body	An injured, infected, inflamed or diseased patch of skin.	Noun	4.85
1510873	-	SORGHUM	Agriculture and vegetation	A cereal, Sorghum vulgare or Sorghum bicolor, the grains of which are used to make flour and as cattle feed.	Noun	8.911
349815	349830	SOUL	Emotions and values	In philosophical or religious belief the immaterial and immortal part of a human being which lives on after death.	Noun	16.11
7469	-	SOUND	Sense perception	To produce a sound.	Noun	15.44
6390	-	SOUP	Food and drink	A cooked, liquid dish (made from meat or vegetables that are mixed with broth in a pot) that is often sold in tins.	Noun	5.64
838324	-	SOUR	Sense perception	Having an acid, sharp or tangy taste.	Adjective	15.38
6542	-	SOUTH	Spatial relations	One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map.	Noun	12.48
341201	-	SOW SEEDS	Agriculture and vegetation	To scatter, disperse, or plant seeds.	Verb	8.31
5871	-	SOW, FEMALE PIG	Animals	An adult female pig.	Noun	3.34
909894	-	SOYA SAUCE	Food and drink	Sauce made from soybeans (soya beans), roasted grain, water and salt and is used as flavoring mainly in Asian cuisine.	Noun	-
525509	-	SPADE	Agriculture and vegetation	Tool having a flat and sharp metal tip and a wooden handle used to break, dig and move the earth.	Noun	8.23
7891	-	SPARROW	animals	A small song bird, in the family Passeridae.	Noun	-
6656	-	SPEAK	Speech and language	To communicate by the use of sounds that are interpreted as language; to communicate verbally.	Verb	18.21
408915	-	SPEAR	Warfare and hunting	a long, stabbing weapon for thrusting or throwing, consisting of a wooden shaft to which a sharp-pointed head, as of iron or steel, is attached.	Noun	20.26
1544459	-	SPEAR ACTION	Warfare and hunting	To penetrate or strike with, or as if with, any long narrow object. To make a thrusting motion that catches an object on the tip of a long device.	Verb	-
8320	-	SPECTACLES	Modern world	A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.	Noun	23.24
4834	-	SPEECH	Speech and language	An address or form of oral communication in which a speaker makes his thoughts and emotions known before an audience, often for a given purpose. (Source: RHW)	Noun	18.222
3588	-	SPIDER	Animals	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.	Noun	3.818
1541190	-	SPIDER MONKEY	Animals	tropical American monkey of the genus Ateles,  having a slender body, long, slender limbs, and a long, prehensile tail.	Noun	-
456539	-	SPIDER WEB	Animals	A fine net of threads woven by a spider to catch insects	Noun	3.819
1240334	-	SPIN	Clothing and grooming	to make (yarn) by drawing out, twisting, and winding fibers.	Verb	6.31
420508	-	SPINACH	Food and drink	An important leaf vegetable, grown throughout the temperate regions of the world.	Noun	-
1505839	-	SPINDLE	Clothing and grooming	A stick used in spinning fiber into thread.	Noun	6.32
348411	-	SPINE	The body	The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.	Noun	4.191
1107036	-	SPIRIT	Emotions and values	The undying essence of a human.	Noun	16.11
6051	-	SPIT	The body	To forcefully evacuate saliva from the mouth.	Verb	4.56
1510997	-	SPLASH	Motion	The sound made by an object hitting a liquid.	Verb	10.352
706908	-	SPLEEN	The body	A ductless vascular gland, located in the left upper abdomen near the stomach.	Noun	4.452
6048	-	SPLIT	Basic actions and technology	To divide fully or partly along a more or less straight line.	Verb	9.27
5944	-	SPOON	Food and drink	An implement for eating or serving, a small bowl with a long straight handle.	Noun	5.37
1083572	-	SPREAD OUT	Basic actions and technology	To spread out or open from a closed or folded state.	Verb	9.34
3596	-	SPRING OF WATER	The physical world	A place where ground water flows naturally from a rock or the soil onto the land surface or into a body of surface water.	Noun	1.37
6360	-	SPRINGTIME	Time	Traditionally the first of the four seasons, the season of growth with an ever increasing amount of daytime.	Noun	14.75
3599	-	SQUARE	Spatial relations	An open area in a town, sometimes including the surrounding buildings.	Noun	12.78
6017	441998;441891	SQUEEZE	Basic actions and technology	To apply pressure to something from two or more sides at once.	Verb	9.343
666598	-	SQUIRREL	Animals	A small or medium-sized rodent of the family Sciuridae.	Noun	3.869
6045	-	STAB	Basic actions and technology	To pierce or to wound with a pointed tool or weapon, especially a knife or dagger.	Verb	9.223
3602	-	STABLE	Animals	A building or structure usually with stalls that is used to house and feed horses, cattle or other animals.	Noun	3.19
399816	-	STALLION	Animals	An uncastrated male horse.	Noun	3.42
6053	-	STAND	Spatial relations	To be upright in an erect position, supported by the feet.	Verb	12.15
6041	-	STAR	The physical world	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.	Noun	1.54
430779	-	STATUE	Basic actions and technology	A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.	Noun	9.83
336072	-	STEAL	Law	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.	Verb	21.51
539987	-	STEAM	The physical world	The gas phase of water.	Noun	1.831
454184	-	STEPDAUGHTER	Kinship	The daughter of one's spouse and his or her previous partner.	Noun	2.74
1480565	-	STEPFATHER	Kinship	The husband of one's biological mother, other than one's biological father.	Noun	2.71
1480454	-	STEPMOTHER	Kinship	The wife of one's biological father, other than one's biological mother.	Noun	2.72
454195	-	STEPSON	Kinship	The son of one's spouse and his or her previous partner.	Noun	2.73
5662	484273	STICK	The physical world	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.	Noun	-
8401	-	STINGRAY	Animals	Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.	Noun	3.664
719375	-	STINGY	Possession	Excessively unwilling to spend.	Adjective	11.54
1089734	-	STINKING	Sense perception	Having a bad smell.	Adjective	15.26
334889	-	STIR	Food and drink	To stir two or more substances together.	Verb	5.49
1510550	-	STOCKING	Clothing and grooming	A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.	Noun	6.49
352530	-	STOMACH	The body	An organ in the body, involved in digestion of food.	Noun	4.46
3633	-	STONE	The physical world	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.	Noun	1.44
341452	-	STORE	Possession	An establishment, either physical or virtual, that sells goods or services to the public.	Noun	11.86
3635	-	STORM	The physical world	An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like. (Source: MGH)	Noun	1.58
1541265	-	STORM CLOUDS	The physical world	darkish clouds attending a windstorm.	Noun	-
3637	358439	STOVE	The house	A chamber within which a fuel-air mixture is burned to provide heat, the heat itself being radiated outward from the chamber; used for space heating, process-fluid heating, and steel blast furnaces.	Noun	7.32
5994	-	STRAIGHT	Spatial relations	Not crooked or bent; having a constant direction throughout its length.	Adjective	12.73
346995	-	STRANGER	Social and political relations	Someone who is not known.	Noun	19.55
411075	436	STREAM	The physical world	A small river or large creek; a body of moving water confined by banks.	Noun	1.36
5895	-	STREET	Modern world	A paved part of road, usually in a village or a town.	Noun	23.395
1410993	1112610	STRENGTH	The body	Muscular capacity to modify the speed of an external physical object, to deform it or to oppose another force.	Noun	-
1425791	1425788	STRETCH	Basic actions and technology	To lengthen by pulling.	Verb	9.32
1510934	-	STRIKE	Basic actions and technology	To hit against something.	Verb	9.21
345510	-	STRONG	The body	Capable of producing great physical force.	Adjective	4.81
8498	8494	STUDY	Cognition	To follow a course of study; to be enrolled at an institute of learning.	Verb	17.242
438953	-	STUMP OF TREE	Agriculture and vegetation	The short piece left over after cutting off the most part.	Noun	-
6322	-	STUPID	Cognition	Lacking in intelligence.	Adjective	17.22
8041	-	STUTTER	Speech and language	To have problems articulating the words, repeting sometimes some syllables.	Verb	18.211
6027	-	SUCK	Food and drink	To draw in a substance by creating a practical vacuum in the mouth, and as a result a difference in pressure.	Verb	5.16
3664	-	SUGAR	Food and drink	A sweet crystalline or powdered substance, white when pure, consisting of sucrose obtained mainly from sugar cane and sugar beets and used in many foods, drinks, and medicines to improve their taste.	Noun	5.85
1310853	-	SUGAR CANE	Agriculture and vegetation	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.	Noun	8.941
5848	-	SUMMER	Time	Traditionally the second of the four seasons regarded as being from June 21 to September 20 (or just June, July and August) in the Northern Hemisphere and from December 21 to March 20 (or just December, January and February) in the Southern Hemisphere.	Noun	14.76
5850	-	SUN	The physical world	The particular star at the centre of our solar system, from which the Earth gets light and heat.	Noun	1.52
6993	-	SUNDAY	Time	The seventh day of the week in Europe and in systems using the ISO 8601 standard, or the first day of the week in the United States of America, the Sabbath for most Christians.	Noun	14.62
894122	-	SUNFLOWER	Agriculture and vegetation	Annual plant with a large yellow flowering head of the genus Helianthus and the family of the Asteraceae.	Noun	-
1525871	-	SURPASS	Motion	To go beyond a limit.	Verb	-
6444	-	SURPRISED	Emotions and values	The feeling that something unexpected has happened.	Adjective	16.15
699169	-	SURRENDER	Warfare and hunting	The act of surrendering to the enemy.	Verb	20.46
7724	1408367	SUSPECT	Cognition	To imagine or suppose (something) to be true without evidence.	Verb	17.44
380335	-	SWALLOW	Food and drink	The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.	Verb	5.181
5069	-	SWAMP	The physical world	A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates.	Noun	1.38
866158	866143;866155	SWEAR	Law	To declare or affirm solemnly and formally as true.	Verb	21.24
1250835	-	SWEAT	The body	A fluid that is secreted by sweat glands in the skin in order to regulate body temperature.	Noun	-
1466959	-	SWEEP	Basic actions and technology	To clean a surface with a broom.	Verb	9.37
336426	-	SWEET	Sense perception	Having the taste characteristic of sugar or honey.	Adjective	15.35
1336889	-	SWEET POTATO	Agriculture and vegetation	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.	Noun	8.91
6454	-	SWELL	Basic actions and technology	To grow larger in volume.	Verb	-
838114	-	SWELLING	The body	Abnormal protuberance or localized enlargement.	Noun	4.853
1541112	-	SWIDDEN FIELD	Agriculture and vegetation	a piece of land cleared for farming by burning away vegetation.	Noun	-
6050	-	SWIM	Motion	To move through the water, without touching the bottom.	Verb	10.35
6350	-	SWORD	Warfare and hunting	A long-bladed weapon that has a handle (and sometimes a hilt) and is designed to stab, cut or slash.	Noun	20.27
7196	-	TABLE	The house	A piece of furniture that generally consists of a hard, flat, horizontal surface, which is elevated and stabilised by 3 or more legs (usually 4).	Noun	7.44
1511154	-	TABLET	Modern world	A pill; a small, easily swallowed portion of a substance.	Noun	23.22
5468	-	TAIL	The body	The appendage of an animal that is attached to its posterior and near the anus.	Noun	4.18
374399	-	TAILOR	Clothing and grooming	Someone who professionally manufactures clothing.	Noun	6.13
7077	7079	TAKE	Possession	To grasp with the hands.	Verb	11.13
335942	-	TALL	Spatial relations	Having a vertical extent greater than the average; Having the upper end, tip, top, head, etc. a long way up; Having a great vertical extent (often greater than the horizontal extent); High.	Adjective	12.58
1073190	-	TAMARIND	Agriculture and vegetation	A tropical tree, native to Africa, including Sudan and parts of the Madagascar dry deciduous forests.	Noun	-
1501856	-	TAN	The house	To treat skins and hides with tannic acid so as to convert them into leather.	Verb	7.67
1510404	-	TAPIR	Animals	Any one the species of large odd-toed ungulates of the family Tapiridae with a long prehensile upper lip.	Noun	3.99
1510923	-	TARO	Agriculture and vegetation	Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.	Noun	-
1051228	-	TASTE	Sense perception	To try the flavor or quality of something.	Verb	15.31
1130256	-	TATTOO	Clothing and grooming	A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.	Noun	6.79
3714	-	TAX	Possession	An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.	Noun	11.69
5927	5926;7655	TEA	Modern world	The drink made by infusing dried leaves or buds in hot water.	Noun	23.9
335855	-	TEACH	Cognition	To pass on knowledge and skills.	Verb	17.25
445262	1162143	TEACHER	Cognition	A person who passes on knowledge, especially one employed in a school.	Noun	17.27
6805	-	TEAR OF EYE	Emotions and values	A drop of liquid produced from the eyes by crying or irritation.	Noun	16.38
704859	-	TEAR, SHRED	Basic actions and technology	A tug given with force in order to remove something.	Verb	9.28
5945	-	TELEPHONE	Modern world	An electronic device used for calling people.	Noun	23.12
7295	-	TELEVISION	Modern world	A device for receiving television signals and displaying them in visual form.	Noun	23.11
701342	-	TELL	Speech and language	To talk about a story giving its details; to give a detailed account of.	Verb	18.221
388190	-	TEMPLE	Religion and belief	A house of worship and spiritual activities.	Noun	22.13
6567	-	TEMPLES	The body	The region of the skull on either side of the forehead.	Noun	4.201
6312	-	TEN	Quantity	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.	Function word	13.1
502614	-	TENDON	The body	Tissue that connects muscle to bone.	Noun	4.465
5770	-	TENT	The house	A portable lodging (usually made from waterproof plastic, animal hide or canvas streched by poles) that is used for sheltering people and objects from the weather when camping or at festivals.	Noun	7.14
3747	-	TERMITES	Animals	A soft-bodied insect of the order Isoptera; individuals feed on cellulose and live in colonies with a caste system comprising three types of functional individuals: sterile workers and soldiers, and the reproductives.	Noun	3.834
348064	-	TESTICLES	The body	The male sex gland that produces sperm and male hormones, found in some types of animals.	Noun	4.49
1149393	5489	THAT	Miscellaneous function words	Demonstrative pronoun (feminine, singular): the indicated thing is implied, since it is previously mentioned. Collocation: that of; to that of.	Function word	24.08
1506073	-	THATCH	The house	Natural roofing material such as straw, reeds, leaves, etc.	Noun	7.52
858309	5489	THERE	Miscellaneous function words	In a not completely determined place which is not here.	Function word	24.1
352331	-	THEY	Kinship	The third person plural of the personal pronoun that designates more than one person or animal, thing or idea which have already been mentioned previously.	Function word	2.96
5503	-	THICK	Spatial relations	Relatively large distance from one surface to the opposite in its smallest solid dimension.	Adjective	12.63
515549	-	THIEF	Law	Someone who takes property belonging to someone else with the intention of keeping it or selling it.	Noun	21.52
348189	-	THIGH	The body	The area between the pelvis and buttocks and the knee.	Noun	4.351
5990	-	THIN	Spatial relations	(Of a person or animal) Narrow in size, and usually indicating carrying little fat.	Adjective	12.65
339816	-	THING	Possession	That which is considered to exist as a separate entity, quality or concept.	Noun	11.18
6309	-	THINK, BELIEVE	Cognition	To have as opinion, belief, or idea.	Verb	17.14
6021	-	THINK, REFLECT	Cognition	To actively and consciously use one's mental powers, usually to form ideas.	Verb	17.13
7979	-	THIRD	Quantity	The ordinal form of the cardinal number three.	Function word	13.42
7008	-	THIRTEEN	Quantity	The cardinal number occurring after twelve and before fourteen, represented in Roman numerals as XIII and in Arabic numerals as 13.	Function word	-
7017	-	THIRTY	Quantity	The cardinal number occurring after twenty-nine and before thirty-one, represented in Roman numerals as XXX and in Arabic numerals as 30.	Function word	-
5458	1370685	THIS	Miscellaneous function words	The indicated object, item, etc.	Function word	24.07
1243793	-	THORN	Agriculture and vegetation	A sharp and hard structure that grows on a plant.	Noun	-
5459	-	THOU	Kinship	The person addressed.	Function word	2.92
7755	-	THOUSAND	Quantity	Ten times hundred.	Function word	13.106
515580	-	THREAD	Clothing and grooming	A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.	Noun	6.38
539320	-	THREATEN	Speech and language	To put in danger.	Verb	18.44
156096	5424	THREE	Quantity	The third natural number (3).	Function word	13.03
1527212	-	THREE TIMES	Quantity	Three times.	Function word	13.44
1506115	-	THRESH	Agriculture and vegetation	Separating the grain from the straw or husks by beating.	Verb	8.34
1451560	-	THRESHING-FLOOR	Agriculture and vegetation	Dry flat area where the grain is separated from the straw or husks by beating.	Noun	8.35
5861	-	THROAT	The body	The front part of the neck.	Noun	4.29
1172828	7432	THROUGH	Miscellaneous function words	From one side of an opening to the other.	Function word	24.05
6072	-	THROW	Motion	To cause (an object) to move rapidly through the air, with the force of the hand or arm.	Verb	10.25
7250	-	THUMB	The body	The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.	Noun	4.342
509787	-	THUNDER	The physical world	Sound produced by fast air expansion induced by a lightning.	Noun	1.56
6989	-	THURSDAY	Time	The fourth day of the week in Europe and in systems using the ISO 8601 norm; the fifth day of the week in the United States of America.	Noun	14.66
633535	-	TICK	Animals	A small arachnid which lives on and sucks the blood of other animals including man.	Noun	3.835
3777	-	TIDE	The physical world	The periodic rise and fall of the water resulting from gravitational interaction between the sun, moon and earth.	Noun	1.352
844574	6453	TIE	Basic actions and technology	To establish connection between two or more things.	Verb	9.16
3779	-	TIME	Time	The dimension of the physical universe which, at a given place, orders the sequence of events.	Noun	14.11
6493	-	TIN, CAN	Modern world	A tin-plate canister, often cylindrical, for preserved foods such as fruit, meat, or fish.	Noun	23.54
3780	-	TIN, CHEMICAL ELEMENT	Basic actions and technology	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.	Noun	9.69
1510953	-	TINPLATE	Basic actions and technology	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.	Noun	9.69
1541242	-	TIP OF TONGUE	The body	front part of the tongue.	Noun	-
7117	-	TIRED	The body	In need of some rest or sleep, usually as a result of hard work or physical activity.	Adjective	4.91
982997	-	TO MIX	Food and drink	To mix together different elements.	Verb	5.49
402886	-	TO STRAIN	Food and drink	To separate or isolate components from one another with the help of a filter.	Verb	5.47
3784	-	TOAD	Animals	Any anuran amphibian of the family Bufonidae, such as Bufo bufo of Europe. They are similar to frogs but are more terrestrial, having a drier warty skin.	Noun	-
420209	3785	TOBACCO	Agriculture and vegetation	Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.	Noun	8.68
5630	-	TODAY	Time	On the current day or date.	Function word	14.47
5969	-	TOE	The body	One of the extremities of the foot.	Noun	4.38
1244402	-	TOENAIL	The body	The hard horny plate on top of each toe.	Noun	-
1444087	5916;6494	TOILET	Modern world	A room equipped with a toilet for urinating and defecating.	Noun	23.52
423688	-	TOMATO	Food and drink	The savoury fruit of the Solanum lycopersicum, red when ripe.	Noun	-
5808	402658	TOMORROW	Time	The day after the present day.	Function word	14.48
1505799	-	TONGS	Food and drink	A tool that consists of two movable bars joined at one end, used to pick up an object.	Noun	5.391
5440	-	TONGUE	The body	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.	Noun	4.26
5894	-	TOOL	Basic actions and technology	A mechanical device intended to make a task easier.	Noun	9.422
5946	-	TOOTH	The body	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for eating.	Noun	4.27
709258	-	TOP	Spatial relations	Highest and most elevated point.	Noun	12.33
844734	-	TORCH	The house	A stick with a flame on one end used as a light source.	Noun	7.45
3788	-	TORTOISE	Animals	Any herbivorous terrestrial chelonian reptile of the family Testudinidae, of most warm regions, having a heavy dome-shaped shell and clawed limbs.	Noun	-
1510388	-	TOUCAN	Animals	A bird with a large colorful beak, living in the tropics and belonging to the family Ramphastidae.	Noun	3.598
8232	-	TOUCH	Sense perception	To be in physical contact with.	Verb	15.71
436437	-	TOWEL	Clothing and grooming	Piece of absorbent fabric or paper used for drying or wiping.	Noun	6.82
6890	-	TOWER	Warfare and hunting	Structure, usually taller than it is wide, often used as a lookout.	Noun	20.36
5974	-	TOWN	Social and political relations	An area with residential districts, shops and amenities, and its own local government.	Noun	19.15
3812	506398	TRADE	Possession	The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)	Verb	11.83
3834	-	TRAIN	Modern world	A self-propelled, connected group of vehicles moving on rails.	Noun	23.155
519501	-	TRAP, CATCH	Warfare and hunting	To catch in a trap, to immobilize.	Verb	20.65
464297	-	TRAP, PITFALL	Warfare and hunting	A device for catching and holding animals.	Noun	20.64
3854	-	TREE	Agriculture and vegetation	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.	Noun	8.6
1490199	-	TREE STUMP	Agriculture and vegetation	A small remaining portion of the trunk of a tree with the roots still in the ground.	Noun	8.72
1510861	-	TREE TRUNK	Agriculture and vegetation	The main structural member of a tree.	Noun	8.73
1412223	1412295;1412322	TROUGH	The house	A long, narrow container, open on top, for feeding or watering animals.	Noun	7.48
349559	-	TROUSERS	Clothing and grooming	An item of clothing worn on the lower part of the body and covering both legs separately.	Noun	6.48
344567	-	TRUMPET	Speech and language	A musical instrument in the brass family.	Noun	18.73
